field_name,accuracy,correct_docs,total_docs,json_ref,matcher
nature_of_guaranty,0.6000,3,5,STATIC::Gen Info 2::Gen Info 2|Guaranty|Nature of Guaranty,StringMatcher
opt_contraction_in_lease,1.0000,5,5,"TABLE_FILTER::Opt - Misc::Opt - Misc|Right of Contraction, Termination or Renewal::Right of Contraction, Termination or Renewal::Contraction::In Lease?",EnumMatcher
opt_expansion_in_lease,1.0000,5,5,TABLE_FILTER::Opt - Misc::Opt - Misc|Right of Expansion::Right of Expansion::Expansion::In Lease?,EnumMatcher
opt_first_rofo_in_lease,1.0000,5,5,TABLE_FILTER::Opt - Misc::Opt - Misc|Right of First Offer or Refusal::Right of First Offer or Refusal::Right of First Offer (ROFO)::In Lease?,EnumMatcher
opt_first_rofr_in_lease,1.0000,5,5,TABLE_FILTER::Opt - Misc::Opt - Misc|Right of First Offer or Refusal::Right of First Offer or Refusal::Right of First Refusal (ROFR)::In Lease?,EnumMatcher
opt_termination_in_lease,1.0000,5,5,"TABLE_FILTER::Opt - Misc::Opt - Misc|Right of Contraction, Termination or Renewal::Right of Contraction, Termination or Renewal::Termination::In Lease?",EnumMatcher
opx_base_year_gross_up_pct,1.0000,5,5,TABLE::oPx - CAM::oPx - CAM|Tenant Expense Recapture::Base Year Gross Up %,FloatMatcher
opx_lease_type,0.2000,1,5,STATIC::oPx - CAM::oPx - CAM|Lease Type & Tenant Expense Recapture|Lease Type,StringMatcher
opx_max_pct_inc,1.0000,5,5,TABLE::oPx - CAM::oPx - CAM|Tenant Expense Recapture::Max % Inc.,FloatMatcher
opx_tenant_expense_recapture,0.2000,1,5,TABLE::oPx - CAM::oPx - CAM|Tenant Expense Recapture,JSONMatcher
percentage_rent_required,0.0000,0,5,STATIC::Gen Info 3::Gen Info 3|Percentage Rent|Required?,EnumMatcher
percentage_rent_sales_reported,0.8000,4,5,STATIC::Gen Info 3::Gen Info 3|Percentage Rent|Sales Reported,EnumMatcher
percentage_rent_table,1.0000,5,5,TABLE::Gen Info 3::Gen Info 3|Percentage Rent,JSONMatcher
premise_address,0.2000,1,5,STATIC::Gen Info 1::Gen Info 1|Premise Information|Address,AddressMatcher
premise_city,0.0000,0,5,STATIC::Gen Info 1::Gen Info 1|Premise Information|City,StringMatcher
premise_information_table,0.0000,0,5,TABLE::Gen Info 1::Gen Info 1|Premise Information,JSONMatcher
premise_state,0.8000,4,5,STATIC::Gen Info 1::Gen Info 1|Premise Information|State,StringMatcher
premise_zipcode,0.2000,1,5,STATIC::Gen Info 1::Gen Info 1|Premise Information|Zip Code,StringMatcher
prepaid_rent_amount,0.2000,1,5,STATIC::Gen Info 2::Gen Info 2|Prepaid Rent|Prepaid Rent Amount,FloatMatcher
prepaid_rent_interest,0.2000,1,5,STATIC::Gen Info 2::Gen Info 2|Prepaid Rent|Interest?,EnumMatcher
prepaid_rent_month_to_apply,0.2000,1,5,STATIC::Gen Info 2::Gen Info 2|Prepaid Rent|Month to Apply,EnumMatcher
prepaid_rent_required,0.0000,0,5,STATIC::Gen Info 2::Gen Info 2|Prepaid Rent|Required?,EnumMatcher
project_prorata_pct,0.0000,0,5,STATIC::Gen Info 1::Gen Info 1|Premise Information|Project Pro-Rata %,FloatMatcher
property_name,0.2000,1,5,STATIC::Gen Info 1::Gen Info 1|Property Information|Property Name,StringMatcher
rec_billings,0.0000,0,5,TABLE::Rec Billings::Rec Billings|Recurring Billings,JSONMatcher
rec_billings_ti_dependent,0.2000,1,5,STATIC::Rec Billings::Rec Billings|Recurring Billings|Is start date dependent on TI completion?,EnumMatcher
reconciliation_due_date,0.6000,3,5,STATIC::oPx - CAM::oPx - CAM|Reconciliation/Audit Information|Reconciliation Due Date,StringMatcher
reconciliation_right_to_audit,0.2000,1,5,STATIC::oPx - CAM::oPx - CAM|Reconciliation/Audit Information|Right to Audit?,EnumMatcher
relocation_article_paragraph,0.0000,0,5,STATIC::Clauses::Clauses|Other Lease Clauses|Relocation Article and/or Paragraph of Lease,StringMatcher
relocation_description,0.0000,0,5,STATIC::Clauses::Clauses|Other Lease Clauses|Relocation Description,StringMatcher
renewal_extension_expiration_date,0.0000,0,5,"TABLE_FILTER::Opt - Misc::Opt - Misc|Right of Contraction, Termination or Renewal::Right of Contraction, Termination or Renewal::Renewal/Extension::Expiration Date",DateMatcher
renewal_extension_in_lease,1.0000,5,5,"TABLE_FILTER::Opt - Misc::Opt - Misc|Right of Contraction, Termination or Renewal::Right of Contraction, Termination or Renewal::Renewal/Extension::In Lease?",EnumMatcher
renewal_extension_who_exercises,1.0000,5,5,"TABLE_FILTER::Opt - Misc::Opt - Misc|Right of Contraction, Termination or Renewal::Right of Contraction, Termination or Renewal::Renewal/Extension::Who Exercises or Initiates",EnumMatcher
rent_due_day,0.0000,0,5,STATIC::Gen Info 3::Gen Info 3|Late Fees|1st Late Fee Rent Due Day,NumberMatcher
rofo_expiration_date,0.0000,0,5,TABLE_FILTER::Opt - Misc::Opt - Misc|Right of First Offer or Refusal::Right of First Offer or Refusal::Right of First Offer (ROFO)::Expiration Date,DateMatcher
rofo_ongoing,1.0000,5,5,TABLE_FILTER::Opt - Misc::Opt - Misc|Right of First Offer or Refusal::Right of First Offer or Refusal::Right of First Offer (ROFO)::Ongoing,EnumMatcher
security_deposit,0.2000,1,5,STATIC::Gen Info 2::Gen Info 2|Deposits|Security Deposit,FloatMatcher
security_deposit_interest,0.2000,1,5,STATIC::Gen Info 2::Gen Info 2|Deposits|Interest?,EnumMatcher
storage_monthly_rate,1.0000,5,5,STATIC::Gen Info 3::Gen Info 3|Storage|Monthly Rate,StringMatcher
storage_required,0.0000,0,5,STATIC::Gen Info 3::Gen Info 3|Storage|Required?,EnumMatcher
storage_square_feet,1.0000,5,5,STATIC::Gen Info 3::Gen Info 3|Storage|Square Feet,NumberMatcher
storage_unit_number,1.0000,5,5,STATIC::Gen Info 3::Gen Info 3|Storage|Unit #,StringMatcher
tenant_entity_type,0.8000,4,5,STATIC::Gen Info 1::Gen Info 1|Tenant Information|Tenant Entity Type,EnumMatcher
tenant_property_insurance_required,0.4000,2,5,STATIC::Opt - Misc::Opt - Misc|Insurance|Is Tenant Property Insurance Required (Y/N)?,EnumMatcher
termination_expiration_date,0.0000,0,5,"TABLE_FILTER::Opt - Misc::Opt - Misc|Right of Contraction, Termination or Renewal::Right of Contraction, Termination or Renewal::Termination::Expiration Date",DateMatcher
termination_who_exercises,1.0000,5,5,"TABLE_FILTER::Opt - Misc::Opt - Misc|Right of Contraction, Termination or Renewal::Right of Contraction, Termination or Renewal::Termination::Who Exercises or Initiates",EnumMatcher
ti_amortized,0.8000,4,5,STATIC::Opt - Misc::Opt - Misc|TI Allowance/Lease Incentives/Commission Information|Amortized TI,StringMatcher
total_parking_stalls,0.6000,3,5,STATIC::Gen Info 3::Gen Info 3|Parking|Total Number of Parking Stalls Allocated Per Lease,FloatMatcher
total_premise_rentable_sf,0.0000,0,5,STATIC::Gen Info 1::Gen Info 1|Premise Information|Total Premise Rentable Sq. Feet,NumberMatcher
